Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,250.0,250.7,247.9,249.7,105191
2017-09-07 00:00:00,251.7,253.0,249.5,249.5,57245
2017-09-06 00:00:00,249.2,251.0,248.3,249.3,1735
2017-09-04 00:00:00,254.0,254.0,248.3,248.5,17399
2017-09-01 00:00:00,250.8,253.6,250.8,252.8,1534
2017-08-31 00:00:00,250.0,251.9,249.3,250.8,2094
2017-08-30 00:00:00,248.4,250.6,248.0,249.2,1414
2017-08-29 00:00:00,250.2,250.5,247.9,249.0,7820
2017-08-28 00:00:00,251.8,251.8,250.1,250.2,1047
2017-08-25 00:00:00,251.8,252.6,250.3,251.7,1160
2017-08-24 00:00:00,253.5,254.7,250.9,250.9,1166
2017-08-23 00:00:00,253.5,255.3,252.5,253.7,962
2017-08-22 00:00:00,251.5,256.0,251.5,254.9,1044
2017-08-21 00:00:00,251.7,254.0,251.1,253.2,1077
2017-08-18 00:00:00,252.0,253.3,250.5,253.3,2098
2017-08-17 00:00:00,252.7,254.7,252.4,252.8,2030
2017-08-16 00:00:00,251.0,253.7,250.8,252.7,2739
2017-08-15 00:00:00,253.0,254.2,251.4,251.9,3370
2017-08-14 00:00:00,251.6,254.6,251.6,253.1,1508
2017-08-11 00:00:00,254.0,254.0,249.8,251.6,1381
2017-08-10 00:00:00,256.3,257.2,252.4,252.6,2799
2017-08-09 00:00:00,260.0,260.0,254.9,256.2,2503
2017-08-08 00:00:00,257.8,260.1,257.5,259.7,769
2017-08-07 00:00:00,257.9,259.0,256.0,257.7,668
2017-08-04 00:00:00,255.9,257.9,255.7,257.9,520
2017-08-03 00:00:00,256.7,259.1,256.3,256.9,1187
2017-08-02 00:00:00,259.1,259.9,257.0,257.3,1716
2017-08-01 00:00:00,253.9,259.2,253.9,259.1,2639
2017-07-31 00:00:00,255.5,259.0,254.7,255.0,1496
2017-07-28 00:00:00,259.7,260.2,255.1,255.7,3633
2017-07-27 00:00:00,255.5,265.2,255.5,264.3,5926
2017-07-26 00:00:00,257.0,260.7,257.0,258.5,1331
2017-07-25 00:00:00,259.0,259.0,253.4,257.1,4112
2017-07-24 00:00:00,256.5,259.7,255.1,258.4,4260
2017-07-21 00:00:00,263.3,264.1,251.0,254.6,12845
2017-07-20 00:00:00,268.2,269.3,267.0,268.4,1410
2017-07-19 00:00:00,271.8,272.0,267.5,270.5,1451
2017-07-18 00:00:00,268.7,271.2,267.7,271.0,3316
2017-07-17 00:00:00,264.5,271.3,264.5,267.7,2502
2017-07-14 00:00:00,266.3,266.9,263.0,266.1,1280
2017-07-13 00:00:00,269.6,269.8,264.4,266.3,1330
2017-07-12 00:00:00,259.6,271.2,259.6,269.6,3162
2017-07-11 00:00:00,263.3,263.3,257.6,259.7,841
2017-07-10 00:00:00,259.0,265.3,259.0,263.1,2735
2017-07-07 00:00:00,260.0,260.5,257.5,259.0,2438
2017-07-06 00:00:00,261.8,261.8,257.0,260.8,2075
2017-07-05 00:00:00,260.0,262.9,260.0,261.8,2442
2017-07-04 00:00:00,261.0,263.7,259.8,261.4,2752
2017-07-03 00:00:00,262.0,263.1,261.2,261.5,3258
2017-06-30 00:00:00,259.8,262.4,258.7,260.5,1462
2017-06-29 00:00:00,266.2,266.2,258.4,258.4,4274
2017-06-28 00:00:00,274.5,274.5,262.9,263.5,7415
2017-06-27 00:00:00,270.0,275.0,264.8,265.4,11175
2017-06-26 00:00:00,272.2,274.0,271.4,271.4,790
2017-06-23 00:00:00,,272.2,272.2,272.2,0
2017-06-22 00:00:00,271.6,272.6,270.8,272.2,4128
2017-06-21 00:00:00,275.0,277.6,271.0,271.6,24699
2017-06-20 00:00:00,279.5,281.0,274.9,276.1,15402
2017-06-19 00:00:00,279.8,282.0,276.2,279.1,1612
2017-06-16 00:00:00,278.5,281.9,277.5,279.8,4272
2017-06-15 00:00:00,276.0,278.0,275.0,276.0,12693
2017-06-14 00:00:00,274.0,276.8,274.0,275.8,734
2017-06-13 00:00:00,272.5,277.2,271.9,276.7,4241
2017-06-12 00:00:00,274.0,274.0,270.2,271.0,3380
2017-06-09 00:00:00,272.0,276.6,272.0,275.6,6433
2017-06-08 00:00:00,274.8,278.4,274.0,274.8,3462
2017-06-07 00:00:00,279.9,279.9,274.7,274.7,8884
2017-06-06 00:00:00,,279.9,279.9,279.9,0
2017-06-05 00:00:00,280.0,281.8,278.4,279.9,1447
2017-06-02 00:00:00,281.7,284.0,278.9,280.4,13867
2017-06-01 00:00:00,280.6,286.9,280.6,281.7,127789
2017-05-31 00:00:00,286.8,288.3,284.5,284.5,143707
2017-05-30 00:00:00,284.1,288.9,284.1,288.0,56265
2017-05-29 00:00:00,282.9,285.9,281.0,285.4,24367
2017-05-26 00:00:00,284.5,285.0,282.6,284.7,789
2017-05-24 00:00:00,288.0,288.0,284.6,284.6,766
