Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,195.5,198.7,195.0,197.1,934924
2017-09-07 00:00:00,192.0,196.3,191.2,196.1,873478
2017-09-06 00:00:00,189.1,191.9,188.6,191.2,800034
2017-09-04 00:00:00,188.4,189.4,188.2,189.3,319400
2017-09-01 00:00:00,190.1,192.9,189.5,190.5,695581
2017-08-31 00:00:00,187.6,190.5,187.2,189.3,820918
2017-08-30 00:00:00,184.5,187.2,184.5,187.0,548605
2017-08-29 00:00:00,185.1,185.2,183.3,184.0,516356
2017-08-28 00:00:00,189.5,190.0,186.2,186.3,404553
2017-08-25 00:00:00,187.9,191.6,187.9,190.0,927081
2017-08-24 00:00:00,188.6,189.1,187.9,188.1,559159
2017-08-23 00:00:00,189.0,189.7,187.8,188.8,666855
2017-08-22 00:00:00,186.1,189.2,186.1,189.0,449835
2017-08-21 00:00:00,186.7,187.2,185.0,185.5,405752
2017-08-18 00:00:00,189.6,189.7,186.7,187.5,791221
2017-08-17 00:00:00,189.0,191.6,188.6,190.6,607180
2017-08-16 00:00:00,188.5,190.5,188.5,190.1,424705
2017-08-15 00:00:00,189.7,190.3,187.6,188.4,477630
2017-08-14 00:00:00,188.6,191.2,188.6,189.6,507248
2017-08-11 00:00:00,190.3,190.7,187.1,188.2,515485
2017-08-10 00:00:00,192.6,193.7,190.6,191.3,515387
2017-08-09 00:00:00,193.5,194.1,191.5,193.2,559070
2017-08-08 00:00:00,193.5,195.4,193.4,194.0,485920
2017-08-07 00:00:00,194.0,194.9,193.0,193.5,364552
2017-08-04 00:00:00,191.2,194.2,190.1,193.7,519234
2017-08-03 00:00:00,193.0,193.3,191.1,191.1,548660
2017-08-02 00:00:00,193.4,194.0,192.4,192.6,526778
2017-08-01 00:00:00,190.4,193.6,190.3,192.9,920592
2017-07-31 00:00:00,189.5,191.1,189.0,190.2,636544
2017-07-28 00:00:00,192.7,192.7,189.2,189.7,550296
2017-07-27 00:00:00,192.4,193.7,191.5,193.2,518648
2017-07-26 00:00:00,189.1,193.0,189.1,192.8,873794
2017-07-25 00:00:00,188.4,190.3,187.7,189.7,521640
2017-07-24 00:00:00,190.9,191.8,188.4,188.4,723135
2017-07-21 00:00:00,196.0,196.0,189.7,191.1,1101782
2017-07-20 00:00:00,198.6,206.0,196.5,196.9,1576282
2017-07-19 00:00:00,196.9,198.9,195.9,198.2,933588
2017-07-18 00:00:00,199.0,199.2,196.0,197.0,728314
2017-07-17 00:00:00,195.9,199.4,194.6,199.3,1106939
2017-07-14 00:00:00,195.5,196.4,195.0,196.1,362170
2017-07-13 00:00:00,197.5,198.0,195.6,195.9,398311
2017-07-12 00:00:00,194.8,198.2,194.8,197.5,441498
2017-07-11 00:00:00,197.0,197.9,193.6,194.4,487725
2017-07-10 00:00:00,195.4,197.1,194.8,196.6,463250
2017-07-07 00:00:00,194.2,195.4,193.6,195.1,507359
2017-07-06 00:00:00,194.4,194.8,192.1,194.1,470209
2017-07-05 00:00:00,191.8,194.7,190.5,194.4,555869
2017-07-04 00:00:00,193.0,193.4,191.7,192.0,334582
2017-07-03 00:00:00,193.0,194.2,192.6,193.5,613937
2017-06-30 00:00:00,192.4,193.7,191.2,192.3,1167619
2017-06-29 00:00:00,196.0,197.3,192.2,192.2,807061
2017-06-28 00:00:00,198.3,198.4,195.2,195.6,1121789
2017-06-27 00:00:00,202.7,203.3,198.0,198.8,1534140
2017-06-26 00:00:00,203.6,205.4,202.2,202.6,559958
2017-06-23 00:00:00,,203.6,203.6,203.6,0
2017-06-22 00:00:00,202.4,203.8,201.1,203.6,704326
2017-06-21 00:00:00,201.7,203.2,200.2,202.5,466257
2017-06-20 00:00:00,202.6,203.9,201.6,201.7,588110
2017-06-19 00:00:00,201.0,203.4,200.9,203.0,749205
2017-06-16 00:00:00,196.6,200.8,196.0,199.9,952159
2017-06-15 00:00:00,197.7,198.0,195.2,196.6,1011110
2017-06-14 00:00:00,201.7,203.7,197.3,197.9,1639340
2017-06-13 00:00:00,201.5,202.7,201.0,201.9,942595
2017-06-12 00:00:00,205.9,205.9,200.5,201.0,775795
2017-06-09 00:00:00,202.0,206.2,202.0,206.1,1105489
2017-06-08 00:00:00,204.2,205.6,201.5,202.0,711552
2017-06-07 00:00:00,204.0,204.8,202.9,204.0,785107
2017-06-06 00:00:00,,203.7,203.7,203.7,0
2017-06-05 00:00:00,206.5,207.5,203.7,203.7,515256
2017-06-02 00:00:00,205.6,207.4,204.3,205.8,1434218
2017-06-01 00:00:00,203.6,206.8,203.6,204.5,811498
2017-05-31 00:00:00,205.5,206.1,204.1,204.4,753796
2017-05-30 00:00:00,204.4,206.3,203.4,205.8,381573
2017-05-29 00:00:00,205.4,206.2,204.3,205.1,348867
2017-05-26 00:00:00,204.0,206.0,203.1,205.4,465826
2017-05-24 00:00:00,204.4,205.6,203.8,204.3,293618
2017-05-23 00:00:00,201.7,204.4,201.4,204.4,563146
2017-05-22 00:00:00,203.0,203.7,201.7,201.9,482412
2017-05-19 00:00:00,199.5,203.3,199.3,202.9,687956
2017-05-18 00:00:00,201.3,201.3,196.7,199.6,1067215
2017-05-17 00:00:00,205.5,205.8,201.3,201.8,937469
2017-05-16 00:00:00,206.7,207.7,206.1,207.0,508888
2017-05-15 00:00:00,207.0,208.2,206.1,206.9,520705
2017-05-12 00:00:00,208.4,207.5,207.5,207.5,547934
2017-05-11 00:00:00,207.9,209.0,207.1,208.4,793711
2017-05-10 00:00:00,209.3,209.4,206.7,208.0,648687
2017-05-09 00:00:00,208.4,210.6,208.1,209.4,617813
2017-05-08 00:00:00,210.0,210.4,207.0,208.5,950834
2017-05-05 00:00:00,211.3,211.7,209.2,210.4,782326
2017-05-04 00:00:00,211.0,212.2,210.0,211.1,557772
2017-05-03 00:00:00,210.9,211.1,209.1,210.3,1001194
2017-05-02 00:00:00,209.0,210.9,207.2,210.9,1135744
2017-05-01 00:00:00,,208.2,208.2,208.2,0
2017-04-28 00:00:00,205.0,208.9,203.9,208.2,1364013
2017-04-27 00:00:00,206.7,209.4,201.1,206.0,2175412
2017-04-26 00:00:00,206.3,206.7,203.9,206.7,1424893
2017-04-25 00:00:00,204.9,206.2,203.4,206.1,964404
2017-04-24 00:00:00,203.0,203.9,199.7,203.9,902452
2017-04-21 00:00:00,198.3,200.0,198.0,199.5,780698
2017-04-20 00:00:00,197.5,198.6,197.1,198.3,881358
2017-04-19 00:00:00,193.0,197.7,192.9,197.5,798787
2017-04-18 00:00:00,195.2,195.9,192.7,193.3,864085
2017-04-13 00:00:00,194.8,195.2,193.1,194.8,317910
2017-04-12 00:00:00,194.4,196.1,194.4,195.3,440256
2017-04-11 00:00:00,195.2,195.6,193.5,194.1,787852
2017-04-10 00:00:00,196.0,196.9,194.3,195.9,826492
2017-04-07 00:00:00,193.9,196.4,193.4,196.3,902357
2017-04-06 00:00:00,193.4,194.3,192.0,194.2,555711
2017-04-05 00:00:00,193.1,194.7,192.4,193.6,660182
2017-04-04 00:00:00,191.9,194.3,191.7,192.2,505567
2017-04-03 00:00:00,192.3,193.0,190.9,191.9,976044
2017-03-31 00:00:00,193.4,193.6,190.6,191.9,843220
2017-03-30 00:00:00,192.0,193.7,191.7,193.6,431730
2017-03-29 00:00:00,191.7,193.7,191.5,192.7,423330
2017-03-28 00:00:00,188.6,191.7,187.6,191.7,614725
2017-03-27 00:00:00,189.7,189.7,187.1,188.6,502154
2017-03-24 00:00:00,190.7,191.1,188.7,190.5,718656
2017-03-23 00:00:00,187.5,191.1,187.3,191.0,380838
2017-03-22 00:00:00,189.0,189.0,186.1,187.5,429348
2017-03-21 00:00:00,191.3,191.7,188.8,189.2,419925
2017-03-20 00:00:00,191.8,192.4,190.3,191.3,704590
2017-03-17 00:00:00,191.0,191.8,190.4,191.8,480354
2017-03-16 00:00:00,190.8,193.5,190.4,191.0,890844
2017-03-15 00:00:00,188.0,190.8,187.5,190.8,1003790
2017-03-14 00:00:00,187.0,187.4,185.1,187.0,593742
2017-03-13 00:00:00,187.0,188.2,186.1,187.8,491524
2017-03-10 00:00:00,187.4,187.2,187.2,187.2,500333
2017-03-09 00:00:00,186.5,187.6,185.8,187.5,474979
2017-03-08 00:00:00,187.5,188.4,186.6,187.7,617744
2017-03-07 00:00:00,186.6,188.6,186.0,188.0,374275
2017-03-06 00:00:00,186.6,186.8,185.3,186.8,410220
2017-03-03 00:00:00,186.9,186.6,186.6,186.6,481102
2017-03-02 00:00:00,189.0,189.3,187.0,187.3,565068
2017-03-01 00:00:00,186.1,189.3,184.7,189.1,852302
2017-02-28 00:00:00,183.1,185.5,182.4,185.5,854282
2017-02-27 00:00:00,182.0,183.0,181.0,182.3,575415
2017-02-24 00:00:00,183.7,184.2,181.0,182.1,408067
2017-02-23 00:00:00,184.0,185.4,183.3,183.8,439190
2017-02-22 00:00:00,186.5,187.2,184.3,184.4,590102
2017-02-21 00:00:00,183.2,187.3,182.1,185.9,727996
2017-02-20 00:00:00,180.8,184.7,180.5,183.4,616523
2017-02-17 00:00:00,181.2,182.3,179.1,179.7,653775
2017-02-16 00:00:00,182.4,182.4,181.1,181.6,432418
2017-02-15 00:00:00,182.5,183.2,180.7,181.9,1055734
2017-02-14 00:00:00,181.2,182.9,180.0,181.8,764380
2017-02-13 00:00:00,181.1,182.2,179.7,181.4,655659
2017-02-10 00:00:00,180.0,181.1,179.6,180.6,490280
2017-02-09 00:00:00,179.5,180.2,179.1,179.8,746091
2017-02-08 00:00:00,180.5,182.2,178.6,179.3,475226
2017-02-07 00:00:00,179.4,181.4,178.9,181.1,683893
2017-02-06 00:00:00,181.0,182.1,179.5,179.7,486977
2017-02-03 00:00:00,182.5,182.9,180.3,181.4,582452
2017-02-02 00:00:00,181.2,184.7,178.4,182.6,1221392
2017-02-01 00:00:00,174.3,186.1,173.2,183.1,1858894
2017-01-31 00:00:00,182.5,184.9,181.3,181.5,1191278
2017-01-30 00:00:00,183.9,184.7,181.7,182.5,588257
2017-01-27 00:00:00,184.2,184.9,183.0,183.9,487763
2017-01-26 00:00:00,184.7,185.0,183.8,184.1,511862
2017-01-25 00:00:00,182.0,184.5,182.0,184.5,939554
2017-01-24 00:00:00,177.4,181.8,177.3,181.8,647163
2017-01-23 00:00:00,182.0,182.0,177.1,177.5,889681
2017-01-20 00:00:00,181.0,182.5,180.4,182.0,594965
2017-01-19 00:00:00,180.0,181.5,179.4,180.7,553197
2017-01-18 00:00:00,177.9,179.5,176.3,179.3,465821
2017-01-17 00:00:00,178.3,178.8,176.1,178.0,562418
2017-01-16 00:00:00,177.7,179.7,177.7,178.8,283013
2017-01-13 00:00:00,180.0,180.5,177.4,178.9,831527
2017-01-12 00:00:00,180.2,180.8,178.8,179.7,525134
2017-01-11 00:00:00,181.0,181.1,179.3,180.2,619330
2017-01-10 00:00:00,181.2,182.7,179.8,181.0,531981
2017-01-09 00:00:00,180.9,181.2,179.6,181.2,467508
2017-01-06 00:00:00,,180.9,180.9,180.9,0
2017-01-05 00:00:00,181.2,181.3,179.9,180.9,349813
2017-01-04 00:00:00,182.5,182.9,179.8,181.2,616293
2017-01-03 00:00:00,180.8,182.9,180.8,182.4,671892
2017-01-02 00:00:00,178.0,181.4,178.0,180.4,286534
2016-12-30 00:00:00,178.5,179.5,178.0,179.3,436527
2016-12-29 00:00:00,179.2,179.5,178.0,178.7,303479
2016-12-28 00:00:00,179.2,179.9,178.6,179.5,311497
2016-12-27 00:00:00,178.2,179.4,178.2,179.2,267983
2016-12-23 00:00:00,177.4,180.1,177.4,178.2,318084
2016-12-22 00:00:00,178.0,178.4,177.0,178.2,426325
2016-12-21 00:00:00,177.7,178.8,176.7,178.4,769961
2016-12-20 00:00:00,177.5,178.3,175.9,177.7,848652
2016-12-19 00:00:00,178.2,178.4,176.3,177.7,1370710
2016-12-16 00:00:00,180.3,183.3,178.5,178.5,1378650
2016-12-15 00:00:00,177.9,186.0,177.5,181.0,2061769
2016-12-14 00:00:00,179.8,180.1,177.3,178.3,1237493
2016-12-13 00:00:00,179.6,180.2,177.0,179.9,1589539
2016-12-12 00:00:00,179.1,181.2,178.4,180.0,1350303
2016-12-09 00:00:00,178.9,179.5,176.2,179.1,1140925
2016-12-08 00:00:00,177.0,179.3,176.8,179.1,1631509
2016-12-07 00:00:00,175.7,176.9,175.5,176.5,876734
2016-12-06 00:00:00,174.0,176.0,174.0,175.5,1210613
2016-12-05 00:00:00,170.0,175.4,169.9,174.2,1152958
2016-12-02 00:00:00,171.1,171.8,168.9,170.9,640454
2016-12-01 00:00:00,169.7,173.8,168.9,172.6,1046790
2016-11-30 00:00:00,167.0,168.8,166.9,168.5,776721
2016-11-29 00:00:00,168.5,168.6,166.3,166.9,483482
2016-11-28 00:00:00,170.3,170.3,168.2,168.5,514995
2016-11-25 00:00:00,169.1,170.3,167.7,170.3,952775
2016-11-24 00:00:00,166.1,169.1,166.1,169.1,759518
2016-11-23 00:00:00,164.9,166.3,164.5,165.5,457967
