Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,146.7,147.4,145.5,146.7,78841
2017-09-07 00:00:00,145.8,148.0,145.8,147.7,76291
2017-09-06 00:00:00,145.0,146.3,144.8,145.4,107462
2017-09-04 00:00:00,143.7,146.8,143.7,145.5,132363
2017-09-01 00:00:00,142.2,146.0,141.8,145.7,286541
2017-08-31 00:00:00,135.2,136.4,135.1,135.7,106858
2017-08-30 00:00:00,134.0,135.3,134.0,135.1,63086
2017-08-29 00:00:00,134.1,134.1,131.9,133.6,135028
2017-08-28 00:00:00,135.3,136.5,135.3,135.9,38880
2017-08-25 00:00:00,138.5,139.6,136.4,136.4,118404
2017-08-24 00:00:00,140.8,141.0,138.3,138.3,211637
2017-08-23 00:00:00,140.4,140.8,140.1,140.8,84227
2017-08-22 00:00:00,137.1,140.7,137.1,140.7,105729
2017-08-21 00:00:00,135.5,136.7,135.4,136.7,44997
2017-08-18 00:00:00,136.0,137.2,135.8,136.4,73398
2017-08-17 00:00:00,138.9,139.0,137.5,137.8,69523
2017-08-16 00:00:00,139.0,140.0,139.0,139.3,78706
2017-08-15 00:00:00,138.9,140.0,137.0,138.5,55532
2017-08-14 00:00:00,138.4,140.4,138.4,139.5,91317
2017-08-11 00:00:00,139.5,139.5,136.8,138.0,91092
2017-08-10 00:00:00,141.2,141.4,140.0,140.4,82490
2017-08-09 00:00:00,142.0,142.0,140.0,141.4,100963
2017-08-08 00:00:00,141.0,143.7,140.5,143.7,68315
2017-08-07 00:00:00,140.3,141.3,139.9,141.3,81871
2017-08-04 00:00:00,138.7,140.8,137.9,140.6,90595
2017-08-03 00:00:00,138.1,139.1,137.4,138.7,71315
2017-08-02 00:00:00,139.2,139.5,137.7,138.3,62680
2017-08-01 00:00:00,137.4,140.3,137.4,139.2,275266
2017-07-31 00:00:00,138.9,139.4,137.1,137.1,62281
2017-07-28 00:00:00,140.6,140.6,137.7,139.0,126836
2017-07-27 00:00:00,142.3,143.3,140.6,140.8,61936
2017-07-26 00:00:00,141.6,143.2,141.1,143.2,222829
2017-07-25 00:00:00,139.8,141.8,139.8,141.4,99621
2017-07-24 00:00:00,139.3,140.8,138.3,140.0,128869
2017-07-21 00:00:00,142.0,142.1,137.0,139.4,358193
2017-07-20 00:00:00,142.0,145.0,140.9,142.4,191739
2017-07-19 00:00:00,141.6,142.5,134.2,140.7,339246
2017-07-18 00:00:00,147.0,147.5,143.7,145.4,178416
2017-07-17 00:00:00,149.9,150.8,146.7,147.1,166990
2017-07-14 00:00:00,149.0,149.9,148.3,149.9,76583
2017-07-13 00:00:00,150.2,150.6,148.4,148.7,92043
2017-07-12 00:00:00,148.8,150.4,147.7,150.3,162581
2017-07-11 00:00:00,149.1,149.6,147.8,148.5,329561
2017-07-10 00:00:00,148.2,149.1,148.1,148.8,100807
2017-07-07 00:00:00,148.8,148.8,147.4,147.8,102465
2017-07-06 00:00:00,146.8,149.4,146.8,148.8,101445
2017-07-05 00:00:00,145.5,147.2,144.8,146.8,71152
